41 | epoch 41 | train/clean/loss 0.9606965080070495 | train/clean/top1 67.756 | train/clean/top5 96.634 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.3155067979812622 | valid/clean/top1 56.14 | valid/clean/top5 91.98 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 16.18 | valid/clean/best 62.84 | 
42 | epoch 42 | train/clean/loss 0.9571959611129761 | train/clean/top1 67.728 | train/clean/top5 96.71 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.089395886039734 | valid/clean/top1 63.32 | valid/clean/top5 94.75 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 16.18 | valid/clean/best 63.32 | 
43 | epoch 43 | train/clean/loss 0.9646366403579711 | train/clean/top1 67.852 | train/clean/top5 96.56 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.2426462246894836 | valid/clean/top1 58.14 | valid/clean/top5 95.33 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 16.18 | valid/clean/best 63.32 | 
44 | epoch 44 | train/clean/loss 0.9578836837387085 | train/clean/top1 68.09 | train/clean/top5 96.6 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.6389920631408692 | valid/clean/top1 50.89 | valid/clean/top5 93.37 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 16.18 | valid/clean/best 63.32 | 
45 | epoch 45 | train/clean/loss 0.9599280577278138 | train/clean/top1 67.896 | train/clean/top5 96.652 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.1139642210960388 | valid/clean/top1 62.92 | valid/clean/top5 95.11 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 16.18 | valid/clean/best 63.32 | 
46 | epoch 46 | train/clean/loss 0.9497978097915649 | train/clean/top1 68.272 | train/clean/top5 96.542 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.4775459604263306 | valid/clean/top1 52.53 | valid/clean/top5 90.21 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 16.18 | valid/clean/best 63.32 | 
47 | epoch 47 | train/clean/loss 0.9479139928054809 | train/clean/top1 68.446 | train/clean/top5 96.608 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.5361341819763183 | valid/clean/top1 52.16 | valid/clean/top5 93.22 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 16.18 | valid/clean/best 63.32 | 
48 | epoch 48 | train/clean/loss 0.946978282623291 | train/clean/top1 68.31 | train/clean/top5 96.726 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.318428680419922 | valid/clean/top1 57.71 | valid/clean/top5 91.04 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 16.18 | valid/clean/best 63.32 | 
49 | epoch 49 | train/clean/loss 0.952874324684143 | train/clean/top1 67.954 | train/clean/top5 96.776 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.7687197513580322 | valid/clean/top1 43.84 | valid/clean/top5 92.07 | valid/adv/loss 0 | valid/adv/top1 0 | valid/adv/top5 0 | valid/adv/best 16.18 | valid/clean/best 63.32 | 
50 | epoch 50 | train/clean/loss 0.9692453178787231 | train/clean/top1 67.512 | train/clean/top5 96.612 | train/adv/loss 0 | train/adv/top1 0 | train/adv/top5 0 | valid/clean/loss 1.4097615985870362 | valid/clean/top1 54.44 | valid/clean/top5 91.54 | valid/adv/loss 3.133150876998901 | valid/adv/top1 12.25 | valid/adv/top5 63.26 | valid/adv/best 16.18 | valid/clean/best 63.32 | 
